Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"etcd.endpoints"="192.168.37.17:2379"
"dotransactions"="true"
"command"="run"
"workload"="core"
"requestdistribution"="uniform"
"updateproportion"="0.5"
"etcd.dial_timeout"="10s"
"operationcount"="50000"
"docollectingdata"="false"
"insertproportion"="0"
"scanproportion"="0"
"measurementtype"="raw"
"readallfields"="true"
"threadcount"="8"
"readproportion"="0.5"
"recordcount"="100000"
**********************************************
**********************************************
Run finished, takes 4m49.376265461s
operation,timestamp_us,latency_us
READ,1716265694807017,61577
READ,1716265694807166,61441
READ,1716265694837875,61415
READ,1716265694841671,57658
READ,1716265694870851,59093
READ,1716265694868609,61502
READ,1716265694901390,59346
READ,1716265694900099,60648
READ,1716265694899343,61409
READ,1716265694900015,60768
READ,1716265694933794,57729
READ,1716265694930124,61455
READ,1716265694961260,61223
READ,1716265694960762,61763
READ,1716265694962289,60250
READ,1716265694960764,61817
READ,1716265694992426,61645
READ,1716265694992604,61532
READ,1716265695022548,62348
READ,1716265695023649,61253
READ,1716265695054929,60689
READ,1716265695054808,60817
READ,1716265695054086,61546
READ,1716265695084909,61545
READ,1716265695084914,61563
READ,1716265695086356,60173
READ,1716265695115633,61574
READ,1716265695115631,61621
READ,1716265695148787,59217
READ,1716265695146537,61490
READ,1716265695148651,59451
READ,1716265695177283,61759
READ,1716265695208114,61667
READ,1716265695208041,61814
READ,1716265695209941,59840
READ,1716265695209499,60377
READ,1716265695209529,60354
READ,1716265695239054,61432
READ,1716265695269867,61551
READ,1716265695269886,61534
READ,1716265695269891,61530
READ,1716265695300501,61810
READ,1716265695374341,31737
READ,1716265695374585,62185
READ,1716265695393728,43171
READ,1716265695375250,61661
READ,1716265695376010,60928
READ,1716265695375255,61697
READ,1716265695406746,61120
READ,1716265695406089,61803
READ,1716265695436969,61851
READ,1716265695436931,61943
READ,1716265695436922,61968
READ,1716265695438188,60708
READ,1716265695468470,61130
READ,1716265695467878,61746
READ,1716265695498909,61272
READ,1716265695531078,60267
READ,1716265695530765,60617
READ,1716265695530755,60744
READ,1716265695530767,60746
READ,1716265695529637,61930
READ,1716265695561066,60911
READ,1716265695591393,61706
READ,1716265695591512,61944
READ,1716265695593535,60071
READ,1716265695591913,61766
READ,1716265695623316,60677
READ,1716265695623333,60666
READ,1716265695653714,61192
READ,1716265695653113,62536
READ,1716265695686287,59073
READ,1716265695685103,60401
READ,1716265695715660,60576
READ,1716265695716811,59436
READ,1716265695714917,61421
READ,1716265695748241,58540
READ,1716265695747429,59371
READ,1716265695776250,61385
READ,1716265695776805,60892
READ,1716265695776717,61008
READ,1716265695806793,62183
READ,1716265695810822,58169
READ,1716265695806814,62199
READ,1716265695837739,61382
READ,1716265695840406,58738
READ,1716265695840451,58742
READ,1716265695868988,61153
READ,1716265695899212,61844
READ,1716265695899133,61945
READ,1716265695900998,60136
READ,1716265695930157,61667
