Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"measurementtype"="raw"
"command"="run"
"workload"="core"
"scanproportion"="0"
"threadcount"="8"
"dotransactions"="true"
"insertproportion"="0"
"readproportion"="0.5"
"operationcount"="50000"
"requestdistribution"="uniform"
"docollectingdata"="false"
"etcd.dial_timeout"="10s"
"updateproportion"="0.5"
"etcd.endpoints"="192.168.37.15:2379"
"recordcount"="100000"
"readallfields"="true"
**********************************************
**********************************************
Run finished, takes 9m10.150120668s
operation,timestamp_us,latency_us
READ,1716265695567513,117664
READ,1716265695581865,103311
READ,1716265695567849,117383
READ,1716265695626188,117510
READ,1716265695627124,116610
READ,1716265695685242,117220
READ,1716265695685172,117425
READ,1716265695685187,117422
READ,1716265695685190,117573
READ,1716265695685172,117610
READ,1716265695744438,116876
READ,1716265695743711,117614
READ,1716265695743745,117589
READ,1716265695802789,117372
READ,1716265695802610,117576
READ,1716265695802621,117701
READ,1716265695802475,117977
READ,1716265695802775,117694
READ,1716265695861346,117897
READ,1716265695920459,117556
READ,1716265695921449,116585
READ,1716265695920203,117836
READ,1716265695980792,115925
READ,1716265695979842,116890
READ,1716265695979987,116807
READ,1716265696039081,116552
READ,1716265696097985,116742
READ,1716265696097973,116763
READ,1716265696098307,116435
READ,1716265696156429,117124
READ,1716265696157012,116614
READ,1716265696156521,117117
READ,1716265696214754,117627
READ,1716265696215173,117339
READ,1716265696214748,117796
READ,1716265696274405,116699
READ,1716265696275207,116022
READ,1716265696273651,117579
READ,1716265696333011,116901
READ,1716265696332554,117387
READ,1716265696332522,117546
READ,1716265696391918,116899
READ,1716265696391246,117587
READ,1716265696392485,116357
READ,1716265696391240,117607
READ,1716265696450079,117476
READ,1716265696449925,117699
READ,1716265696508830,117520
READ,1716265696508859,117570
READ,1716265696508853,117621
READ,1716265696568340,117029
READ,1716265696569109,116312
READ,1716265696569150,116299
READ,1716265696567569,117900
READ,1716265696626485,117588
READ,1716265696626372,117763
READ,1716265696685459,117296
READ,1716265696745441,116238
READ,1716265696745258,116464
READ,1716265696744080,117646
READ,1716265696804821,115626
READ,1716265696805214,115249
READ,1716265696803827,117202
READ,1716265696804905,116168
READ,1716265696861735,118469
READ,1716265696861735,118496
READ,1716265696861686,118602
READ,1716265696921087,117555
READ,1716265696920463,118277
READ,1716265696921038,117703
READ,1716265696980301,118120
READ,1716265696980341,118247
READ,1716265696980241,118791
READ,1716265697040648,115625
READ,1716265697038747,117556
READ,1716265697099054,116132
READ,1716265697099121,116111
READ,1716265697159128,115018
READ,1716265697158766,115651
READ,1716265697156319,118140
READ,1716265697215735,117057
READ,1716265697215244,117555
READ,1716265697274575,117030
READ,1716265697274424,117199
