Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"workload"="core"
"readallfields"="true"
"threadcount"="8"
"command"="run"
"insertproportion"="0"
"etcd.dial_timeout"="10s"
"scanproportion"="0"
"readproportion"="0.5"
"dotransactions"="true"
"operationcount"="50000"
"measurementtype"="raw"
"docollectingdata"="false"
"recordcount"="100000"
"etcd.endpoints"="192.168.37.16:2379"
"requestdistribution"="uniform"
"updateproportion"="0.5"
**********************************************
**********************************************
Run finished, takes 5m45.449650183s
operation,timestamp_us,latency_us
UPDATE,1716265693962404,37373
UPDATE,1716265693998633,37452
UPDATE,1716265693999268,37548
UPDATE,1716265694034385,37336
UPDATE,1716265694036831,37324
UPDATE,1716265694071060,37582
UPDATE,1716265694071743,37395
UPDATE,1716265694074171,37386
UPDATE,1716265694107936,37402
UPDATE,1716265694109154,37681
UPDATE,1716265694108664,38194
UPDATE,1716265694144923,38375
UPDATE,1716265694145316,38171
UPDATE,1716265694146855,37366
UPDATE,1716265694181492,37443
UPDATE,1716265694183502,37480
UPDATE,1716265694218341,37495
UPDATE,1716265694218353,37733
UPDATE,1716265694218949,37543
UPDATE,1716265694221002,37300
UPDATE,1716265694255132,37977
UPDATE,1716265694256506,37368
UPDATE,1716265694258318,37330
UPDATE,1716265694293136,37664
UPDATE,1716265694293891,37608
UPDATE,1716265694295662,37248
UPDATE,1716265694328498,37290
UPDATE,1716265694328559,37342
UPDATE,1716265694330815,37366
UPDATE,1716265694331511,37440
UPDATE,1716265694332927,37114
UPDATE,1716265694365177,37588
UPDATE,1716265694365183,37657
UPDATE,1716265694365807,37398
UPDATE,1716265694365915,37341
UPDATE,1716265694368195,37510
UPDATE,1716265694405738,37681
UPDATE,1716265694438686,37293
UPDATE,1716265694475545,37569
UPDATE,1716265694475567,37775
UPDATE,1716265694475603,37985
UPDATE,1716265694475587,38002
UPDATE,1716265694475992,37602
UPDATE,1716265694475597,38006
UPDATE,1716265694512209,37806
UPDATE,1716265694513601,37520
UPDATE,1716265694513619,37593
UPDATE,1716265694550114,37701
UPDATE,1716265694550033,37836
UPDATE,1716265694551138,37331
UPDATE,1716265694586875,37358
UPDATE,1716265694587838,37243
UPDATE,1716265694623617,37496
UPDATE,1716265694625098,37691
UPDATE,1716265694660505,37831
UPDATE,1716265694660451,37888
UPDATE,1716265694661130,37544
UPDATE,1716265694697029,37446
