Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 9999]
***************** properties *****************
"threadcount"="4"
"insertproportion"="0"
"readproportion"="0.5"
"dotransactions"="false"
"docollectingdata"="false"
"readallfields"="true"
"etcd.endpoints"="192.168.37.11:2379"
"operationcount"="1000000"
"updateproportion"="0.5"
"workload"="core"
"measurementtype"="raw"
"command"="load"
"requestdistribution"="uniform"
"scanproportion"="0"
"etcd.dial_timeout"="1s"
"recordcount"="10000"
**********************************************
**********************************************
Run finished, takes 5m36.618769603s
operation,timestamp_us,latency_us
TOTAL,1717481335099008,115501
TOTAL,1717481335191926,64561
TOTAL,1717481335191961,72689
TOTAL,1717481335192228,72449
TOTAL,1717481335264739,93361
TOTAL,1717481335214586,143595
TOTAL,1717481335256552,101661
TOTAL,1717481335264724,93508
TOTAL,1717481335358165,68538
TOTAL,1717481335358249,91279
TOTAL,1717481335358298,91258
TOTAL,1717481335358313,91292
TOTAL,1717481335426767,125734
TOTAL,1717481335449594,131727
TOTAL,1717481335552602,55649
TOTAL,1717481335449630,158777
TOTAL,1717481335449669,158750
TOTAL,1717481335608473,129726
TOTAL,1717481335581428,156828
TOTAL,1717481335608329,129996
TOTAL,1717481335608490,129961
TOTAL,1717481335738390,62202
TOTAL,1717481335738519,198129
TOTAL,1717481335738269,198399
TOTAL,1717481335738323,198409
TOTAL,1717481335800663,197234
TOTAL,1717481335936740,206152
TOTAL,1717481335997981,144949
TOTAL,1717481335936749,206270
TOTAL,1717481335936798,206287
TOTAL,1717481336143099,94543
TOTAL,1717481336237709,86704
TOTAL,1717481336142963,181576
TOTAL,1717481336143003,181543
TOTAL,1717481336143205,181355
TOTAL,1717481336324478,65296
TOTAL,1717481336324625,174414
TOTAL,1717481336389848,109200
TOTAL,1717481336324643,174520
TOTAL,1717481336324643,174668
TOTAL,1717481336499139,80962
TOTAL,1717481336499377,191599
TOTAL,1717481336580215,110810
TOTAL,1717481336499107,191922
TOTAL,1717481336499278,191880
TOTAL,1717481336691233,165914
TOTAL,1717481336691116,166057
TOTAL,1717481336691043,166154
TOTAL,1717481336691126,166272
TOTAL,1717481336857221,39052
TOTAL,1717481336896343,145989
TOTAL,1717481336857322,185104
TOTAL,1717481336857251,185208
TOTAL,1717481336857466,185075
TOTAL,1717481337042425,46576
TOTAL,1717481337042609,93171
TOTAL,1717481337042493,93316
TOTAL,1717481337135840,87199
TOTAL,1717481337042523,180618
TOTAL,1717481337089066,134084
TOTAL,1717481337135873,87295
TOTAL,1717481337223112,59573
TOTAL,1717481337223235,86951
TOTAL,1717481337223239,86964
TOTAL,1717481337223216,87025
TOTAL,1717481337282781,124659
TOTAL,1717481337310248,97777
TOTAL,1717481337310315,97794
TOTAL,1717481337310281,158673
TOTAL,1717481337407514,83700
TOTAL,1717481337408093,178911
TOTAL,1717481337469025,117999
TOTAL,1717481337491291,95771
TOTAL,1717481337408223,178845
TOTAL,1717481337587139,39802
TOTAL,1717481337587144,92317
TOTAL,1717481337587137,92358
TOTAL,1717481337587089,92495
TOTAL,1717481337679528,71305
TOTAL,1717481337627115,123723
TOTAL,1717481337679676,140295
TOTAL,1717481337679556,140445
TOTAL,1717481337820034,109782
TOTAL,1717481337820073,109756
TOTAL,1717481337750898,179023
TOTAL,1717481337750903,179074
TOTAL,1717481337929994,69636
TOTAL,1717481337930093,69820
TOTAL,1717481337929924,70017
TOTAL,1717481337929884,70119
TOTAL,1717481338000011,108299
TOTAL,1717481337999724,108707
TOTAL,1717481338000068,108385
TOTAL,1717481337999973,108488
TOTAL,1717481338108373,63335
TOTAL,1717481338108525,63859
TOTAL,1717481338108523,63883
TOTAL,1717481338108501,63927
TOTAL,1717481338171812,149365
TOTAL,1717481338172492,148759
TOTAL,1717481338172447,183740
TOTAL,1717481338172476,183762
TOTAL,1717481338321324,204280
TOTAL,1717481338321246,204363
TOTAL,1717481338356253,169766
TOTAL,1717481338356304,169761
TOTAL,1717481338525674,91182
TOTAL,1717481338525700,91168
TOTAL,1717481338526135,90738
TOTAL,1717481338526080,195299
TOTAL,1717481338616968,104468
TOTAL,1717481338616969,104873
TOTAL,1717481338616945,104957
TOTAL,1717481338721534,84089
TOTAL,1717481338805695,81445
TOTAL,1717481338721926,165253
TOTAL,1717481338721444,165779
TOTAL,1717481338721966,165276
TOTAL,1717481338887329,176932
TOTAL,1717481338887241,177047
TOTAL,1717481338887307,177088
TOTAL,1717481338887219,177278
TOTAL,1717481339064462,24737
TOTAL,1717481339064350,167760
TOTAL,1717481339089297,142860
TOTAL,1717481339064329,167844
TOTAL,1717481339064561,167748
TOTAL,1717481339232228,90288
TOTAL,1717481339232237,90723
TOTAL,1717481339232373,90584
TOTAL,1717481339232177,90794
TOTAL,1717481339323032,157168
TOTAL,1717481339323028,157255
TOTAL,1717481339322625,157739
TOTAL,1717481339323031,217262
TOTAL,1717481339480277,168805
TOTAL,1717481339540358,108781
TOTAL,1717481339480486,168830
TOTAL,1717481339480353,168981
TOTAL,1717481339649383,176426
TOTAL,1717481339649145,176692
TOTAL,1717481339649447,176400
TOTAL,1717481339649209,176662
TOTAL,1717481339825941,78232
TOTAL,1717481339825877,78298
TOTAL,1717481339904240,170690
TOTAL,1717481339825912,249049
TOTAL,1717481339825906,249118
TOTAL,1717481339904261,256268
TOTAL,1717481340075026,85894
TOTAL,1717481340075088,85877
TOTAL,1717481340075026,85966
TOTAL,1717481340160632,107224
TOTAL,1717481340161062,140565
TOTAL,1717481340160989,140670
TOTAL,1717481340161062,140814
TOTAL,1717481340267922,80220
TOTAL,1717481340301726,134529
TOTAL,1717481340348208,88076
TOTAL,1717481340301946,134410
TOTAL,1717481340301689,134726
TOTAL,1717481340436349,91459
TOTAL,1717481340436430,91417
TOTAL,1717481340436350,91521
TOTAL,1717481340436480,172464
TOTAL,1717481340527936,106519
TOTAL,1717481340527939,106525
TOTAL,1717481340527908,129277
TOTAL,1717481340609026,97795
TOTAL,1717481340657247,116782
TOTAL,1717481340634525,139564
TOTAL,1717481340634530,139574
TOTAL,1717481340774192,68899
TOTAL,1717481340706925,136204
TOTAL,1717481340774177,177945
TOTAL,1717481340774103,178085
TOTAL,1717481340843190,109006
TOTAL,1717481340843157,126634
TOTAL,1717481340952262,59745
TOTAL,1717481340952249,78274
TOTAL,1717481340952204,78326
TOTAL,1717481341030595,94592
TOTAL,1717481341030585,94608
TOTAL,1717481340969847,155351
TOTAL,1717481341012077,113140
TOTAL,1717481341125235,95444
TOTAL,1717481341220752,86470
TOTAL,1717481341125208,182027
TOTAL,1717481341125198,182135
TOTAL,1717481341125206,182245
TOTAL,1717481341307302,68625
TOTAL,1717481341307518,68441
TOTAL,1717481341307290,158940
TOTAL,1717481341376041,90220
TOTAL,1717481341375998,90332
TOTAL,1717481341307405,158973
TOTAL,1717481341466297,52896
TOTAL,1717481341466324,52875
TOTAL,1717481341466445,71741
TOTAL,1717481341466398,71800
TOTAL,1717481341519273,106756
TOTAL,1717481341519264,134141
TOTAL,1717481341538249,136117
TOTAL,1717481341538264,136117
TOTAL,1717481341674432,109314
TOTAL,1717481341626097,157719
TOTAL,1717481341674444,109488
TOTAL,1717481341653470,130542
TOTAL,1717481341783998,175622
TOTAL,1717481341783882,175777
TOTAL,1717481341784076,175650
TOTAL,1717481341783814,175947
TOTAL,1717481341959686,77143
TOTAL,1717481341959796,149963
TOTAL,1717481341959827,149958
TOTAL,1717481341959730,150058
TOTAL,1717481342036894,73015
TOTAL,1717481342109855,67762
TOTAL,1717481342109975,68069
TOTAL,1717481342109858,68255
TOTAL,1717481342109824,68318
TOTAL,1717481342178225,85483
TOTAL,1717481342178213,85531
TOTAL,1717481342177680,86090
TOTAL,1717481342178117,85672
TOTAL,1717481342263773,37617
TOTAL,1717481342301467,132316
TOTAL,1717481342263816,170018
TOTAL,1717481342263780,170082
TOTAL,1717481342263729,170190
TOTAL,1717481342433856,61476
TOTAL,1717481342433929,176619
TOTAL,1717481342433995,176581
TOTAL,1717481342495400,115183
TOTAL,1717481342433902,176744
TOTAL,1717481342610645,83957
TOTAL,1717481342610711,83930
TOTAL,1717481342610667,84217
TOTAL,1717481342610621,84266
TOTAL,1717481342694961,97727
TOTAL,1717481342694706,116736
TOTAL,1717481342694965,116509
TOTAL,1717481342694752,116734
TOTAL,1717481342792809,84088
TOTAL,1717481342811505,147720
TOTAL,1717481342811543,147700
TOTAL,1717481342811554,147789
TOTAL,1717481342876961,99738
TOTAL,1717481342959406,52164
TOTAL,1717481342959294,84116
TOTAL,1717481342959307,84143
TOTAL,1717481343011640,131363
TOTAL,1717481342976767,166290
TOTAL,1717481343043522,100093
TOTAL,1717481343043517,100491
TOTAL,1717481343144073,149503
TOTAL,1717481343143151,150492
TOTAL,1717481343143095,150557
TOTAL,1717481343143677,150049
TOTAL,1717481343293718,85620
TOTAL,1717481343293677,85710
TOTAL,1717481343293710,85687
TOTAL,1717481343293835,85641
TOTAL,1717481343379487,80328
TOTAL,1717481343379463,80391
TOTAL,1717481343379404,80492
TOTAL,1717481343379539,80461
TOTAL,1717481343460079,159904
TOTAL,1717481343459883,160160
TOTAL,1717481343459923,160190
TOTAL,1717481343459965,160179
TOTAL,1717481343620228,32799
TOTAL,1717481343620105,48097
TOTAL,1717481343620061,48149
TOTAL,1717481343668275,134422
TOTAL,1717481343653094,149655
TOTAL,1717481343620211,182538
TOTAL,1717481343668269,134521
TOTAL,1717481343802821,182630
TOTAL,1717481343802783,182736
TOTAL,1717481343802820,182770
TOTAL,1717481343802854,182742
TOTAL,1717481343985655,66200
TOTAL,1717481343985552,66842
TOTAL,1717481343985661,66754
TOTAL,1717481343985589,66929
TOTAL,1717481344051955,119094
TOTAL,1717481344052488,119016
TOTAL,1717481344052590,119205
TOTAL,1717481344052488,119369
TOTAL,1717481344171123,95462
TOTAL,1717481344171928,95093
TOTAL,1717481344171590,95456
TOTAL,1717481344266671,110338
TOTAL,1717481344171859,205185
TOTAL,1717481344267089,137332
TOTAL,1717481344267121,137304
TOTAL,1717481344377097,78771
TOTAL,1717481344377117,78757
TOTAL,1717481344455964,103313
TOTAL,1717481344455964,103368
TOTAL,1717481344404488,154964
TOTAL,1717481344404487,155014
TOTAL,1717481344559407,68795
TOTAL,1717481344559344,69386
TOTAL,1717481344559572,87055
TOTAL,1717481344559549,87103
TOTAL,1717481344628303,107194
TOTAL,1717481344628806,106761
TOTAL,1717481344646706,88896
TOTAL,1717481344646722,89027
TOTAL,1717481344735565,174787
TOTAL,1717481344735685,174794
TOTAL,1717481344735821,174700
TOTAL,1717481344735633,174899
TOTAL,1717481344910589,75864
TOTAL,1717481344910417,76385
TOTAL,1717481344910610,76238
TOTAL,1717481344910633,76245
TOTAL,1717481344986555,116566
TOTAL,1717481344986878,116893
TOTAL,1717481344986941,116890
TOTAL,1717481344986914,116984
TOTAL,1717481345103195,43314
TOTAL,1717481345146561,107235
TOTAL,1717481345103912,149947
TOTAL,1717481345103831,150034
TOTAL,1717481345103986,149947
TOTAL,1717481345253861,51096
TOTAL,1717481345254017,93372
TOTAL,1717481345253959,93522
TOTAL,1717481345253959,93566
TOTAL,1717481345347453,72714
TOTAL,1717481345305015,115199
TOTAL,1717481345347620,95402
TOTAL,1717481345347644,95394
TOTAL,1717481345420227,62586
TOTAL,1717481345420284,173458
TOTAL,1717481345482877,110942
TOTAL,1717481345443076,150815
TOTAL,1717481345443107,150817
TOTAL,1717481345593833,59604
TOTAL,1717481345653503,73901
TOTAL,1717481345594026,133389
TOTAL,1717481345593955,133472
TOTAL,1717481345593886,133574
TOTAL,1717481345727547,33172
TOTAL,1717481345727493,182482
TOTAL,1717481345760782,149229
TOTAL,1717481345727484,182597
TOTAL,1717481345727471,182505
TOTAL,1717481345910095,40616
TOTAL,1717481345910266,59745
TOTAL,1717481345910090,164825
TOTAL,1717481345950778,124197
TOTAL,1717481345970081,104907
TOTAL,1717481345910147,164912
TOTAL,1717481346074982,20459
TOTAL,1717481346075125,174872
TOTAL,1717481346095519,154485
TOTAL,1717481346075084,175156
TOTAL,1717481346075040,175255
TOTAL,1717481346250068,62008
TOTAL,1717481346250304,61823
TOTAL,1717481346250360,61773
TOTAL,1717481346250072,62114
TOTAL,1717481346312239,116628
TOTAL,1717481346312161,116746
TOTAL,1717481346312219,116757
TOTAL,1717481346312296,116722
TOTAL,1717481346428991,93159
TOTAL,1717481346429079,93145
TOTAL,1717481346428971,93371
TOTAL,1717481346522215,64569
TOTAL,1717481346429088,157713
TOTAL,1717481346522323,113992
TOTAL,1717481346522408,113996
TOTAL,1717481346586863,80593
TOTAL,1717481346586863,80653
TOTAL,1717481346667559,101101
TOTAL,1717481346636470,132229
TOTAL,1717481346667583,101126
TOTAL,1717481346636378,132475
TOTAL,1717481346768771,150595
TOTAL,1717481346768729,150663
TOTAL,1717481346768924,150568
TOTAL,1717481346768768,150733
TOTAL,1717481346919431,40308
TOTAL,1717481346919566,93312
TOTAL,1717481346919558,93344
TOTAL,1717481347013001,76223
TOTAL,1717481347012980,76270
TOTAL,1717481346919459,169832
TOTAL,1717481346959822,129523
TOTAL,1717481347089411,63213
TOTAL,1717481347089315,81387
TOTAL,1717481347089320,81415
TOTAL,1717481347089357,81423
TOTAL,1717481347170768,94217
TOTAL,1717481347170855,94158
TOTAL,1717481347152683,112333
TOTAL,1717481347170820,94228
TOTAL,1717481347265081,193163
TOTAL,1717481347265083,193287
TOTAL,1717481347265055,193348
TOTAL,1717481347265117,193323
TOTAL,1717481347458320,26677
TOTAL,1717481347458468,174900
TOTAL,1717481347485082,148309
TOTAL,1717481347458452,174945
TOTAL,1717481347458504,174974
TOTAL,1717481347633544,54126
TOTAL,1717481347633472,168441
TOTAL,1717481347687765,114166
TOTAL,1717481347633467,168483
TOTAL,1717481347633441,168661
TOTAL,1717481347802017,47581
TOTAL,1717481347802002,81148
