Now loading data using DB:  etcd
core
Using request distribution 'latest' a keyrange of [0 99999]
***************** properties *****************
"etcd.dial_timeout"="1s"
"scanproportion"="0"
"readallfields"="true"
"dotransactions"="true"
"docollectingdata"="false"
"threadcount"="5"
"recordcount"="100000"
"readproportion"="0.95"
"requestdistribution"="latest"
"updateproportion"="0"
"operationcount"="50000"
"command"="run"
"etcd.endpoints"="192.168.37.12:2379"
"insertproportion"="0.05"
"workload"="core"
**********************************************
TOTAL  - Takes(s): 59.9, Count: 2615, OPS: 43.7, Avg(us): 57845, Min(us): 23008, Max(us): 86463, 50th(us): 59103, 90th(us): 68799, 95th(us): 71487, 99th(us): 77183, 99.9th(us): 84607, 99.99th(us): 86463
INSERT - Takes(s): 69.6, Count: 290, OPS: 4.2, Avg(us): 33996, Min(us): 23008, Max(us): 58783, 50th(us): 32431, 90th(us): 42207, 95th(us): 44063, 99th(us): 48831, 99.9th(us): 58783, 99.99th(us): 58783
READ   - Takes(s): 69.9, Count: 2832, OPS: 40.5, Avg(us): 60561, Min(us): 28240, Max(us): 86463, 50th(us): 59903, 90th(us): 69183, 95th(us): 71743, 99th(us): 77823, 99.9th(us): 84607, 99.99th(us): 86463
READ_ERROR - Takes(s): 70.0, Count: 2808, OPS: 40.1, Avg(us): 60014, Min(us): 26528, Max(us): 83455, 50th(us): 59551, 90th(us): 68799, 95th(us): 71359, 99th(us): 75775, 99.9th(us): 81855, 99.99th(us): 83455
TOTAL  - Takes(s): 69.9, Count: 3122, OPS: 44.7, Avg(us): 58093, Min(us): 23008, Max(us): 86463, 50th(us): 59295, 90th(us): 68671, 95th(us): 71295, 99th(us): 77183, 99.9th(us): 84607, 99.99th(us): 86463
INSERT - Takes(s): 79.6, Count: 342, OPS: 4.3, Avg(us): 34236, Min(us): 23008, Max(us): 58783, 50th(us): 32703, 90th(us): 42399, 95th(us): 44959, 99th(us): 48831, 99.9th(us): 58783, 99.99th(us): 58783
READ   - Takes(s): 79.9, Count: 3306, OPS: 41.4, Avg(us): 60467, Min(us): 28240, Max(us): 86463, 50th(us): 59935, 90th(us): 68671, 95th(us): 71231, 99th(us): 77055, 99.9th(us): 84607, 99.99th(us): 86463
READ_ERROR - Takes(s): 80.0, Count: 3137, OPS: 39.2, Avg(us): 60009, Min(us): 26528, Max(us): 83455, 50th(us): 59679, 90th(us): 68543, 95th(us): 70975, 99th(us): 75711, 99.9th(us): 81855, 99.99th(us): 83455
TOTAL  - Takes(s): 79.9, Count: 3648, OPS: 45.7, Avg(us): 58008, Min(us): 23008, Max(us): 86463, 50th(us): 59359, 90th(us): 68415, 95th(us): 71039, 99th(us): 76927, 99.9th(us): 84543, 99.99th(us): 86463
INSERT - Takes(s): 89.6, Count: 379, OPS: 4.2, Avg(us): 34119, Min(us): 23008, Max(us): 58783, 50th(us): 32687, 90th(us): 42367, 95th(us): 44767, 99th(us): 47615, 99.9th(us): 58783, 99.99th(us): 58783
READ   - Takes(s): 89.9, Count: 3803, OPS: 42.3, Avg(us): 60417, Min(us): 26992, Max(us): 86463, 50th(us): 59967, 90th(us): 68479, 95th(us): 71103, 99th(us): 76671, 99.9th(us): 84543, 99.99th(us): 86463
READ_ERROR - Takes(s): 90.0, Count: 3452, OPS: 38.4, Avg(us): 59986, Min(us): 26528, Max(us): 83455, 50th(us): 59679, 90th(us): 68479, 95th(us): 70847, 99th(us): 75519, 99.9th(us): 81855, 99.99th(us): 83455
TOTAL  - Takes(s): 89.9, Count: 4182, OPS: 46.5, Avg(us): 58034, Min(us): 23008, Max(us): 86463, 50th(us): 59359, 90th(us): 68159, 95th(us): 70719, 99th(us): 76223, 99.9th(us): 84543, 99.99th(us): 86463
INSERT - Takes(s): 99.6, Count: 425, OPS: 4.3, Avg(us): 33767, Min(us): 23008, Max(us): 58783, 50th(us): 32271, 90th(us): 41855, 95th(us): 44063, 99th(us): 47615, 99.9th(us): 58783, 99.99th(us): 58783
READ   - Takes(s): 99.9, Count: 4290, OPS: 42.9, Avg(us): 60092, Min(us): 26992, Max(us): 86463, 50th(us): 59743, 90th(us): 68159, 95th(us): 70655, 99th(us): 76095, 99.9th(us): 84543, 99.99th(us): 86463
READ_ERROR - Takes(s): 100.0, Count: 3809, OPS: 38.1, Avg(us): 59784, Min(us): 26528, Max(us): 83455, 50th(us): 59519, 90th(us): 68031, 95th(us): 70591, 99th(us): 75263, 99.9th(us): 81727, 99.99th(us): 83455
TOTAL  - Takes(s): 99.9, Count: 4715, OPS: 47.2, Avg(us): 57719, Min(us): 23008, Max(us): 86463, 50th(us): 59071, 90th(us): 67775, 95th(us): 70207, 99th(us): 75711, 99.9th(us): 82239, 99.99th(us): 86463
INSERT - Takes(s): 109.6, Count: 469, OPS: 4.3, Avg(us): 33461, Min(us): 23008, Max(us): 58783, 50th(us): 31951, 90th(us): 41535, 95th(us): 43775, 99th(us): 47231, 99.9th(us): 58783, 99.99th(us): 58783
READ   - Takes(s): 109.9, Count: 4846, OPS: 44.1, Avg(us): 59707, Min(us): 26992, Max(us): 86463, 50th(us): 59327, 90th(us): 67711, 95th(us): 70143, 99th(us): 75647, 99.9th(us): 82239, 99.99th(us): 86463
READ_ERROR - Takes(s): 110.0, Count: 4111, OPS: 37.4, Avg(us): 59552, Min(us): 26528, Max(us): 83455, 50th(us): 59295, 90th(us): 67775, 95th(us): 70207, 99th(us): 75071, 99.9th(us): 81727, 99.99th(us): 83455
TOTAL  - Takes(s): 109.9, Count: 5315, OPS: 48.4, Avg(us): 57391, Min(us): 23008, Max(us): 86463, 50th(us): 58623, 90th(us): 67455, 95th(us): 69887, 99th(us): 75135, 99.9th(us): 82239, 99.99th(us): 85951
INSERT - Takes(s): 119.6, Count: 515, OPS: 4.3, Avg(us): 33184, Min(us): 23008, Max(us): 58783, 50th(us): 31823, 90th(us): 40639, 95th(us): 43615, 99th(us): 47231, 99.9th(us): 53823, 99.99th(us): 58783
READ   - Takes(s): 119.9, Count: 5380, OPS: 44.9, Avg(us): 59400, Min(us): 26224, Max(us): 86463, 50th(us): 58975, 90th(us): 67391, 95th(us): 69887, 99th(us): 75135, 99.9th(us): 82239, 99.99th(us): 85951
READ_ERROR - Takes(s): 120.0, Count: 4435, OPS: 37.0, Avg(us): 59334, Min(us): 26528, Max(us): 83455, 50th(us): 59039, 90th(us): 67519, 95th(us): 69951, 99th(us): 74943, 99.9th(us): 81727, 99.99th(us): 83455
TOTAL  - Takes(s): 119.9, Count: 5895, OPS: 49.2, Avg(us): 57110, Min(us): 23008, Max(us): 86463, 50th(us): 58303, 90th(us): 67007, 95th(us): 69567, 99th(us): 74879, 99.9th(us): 81663, 99.99th(us): 85951
INSERT - Takes(s): 129.6, Count: 557, OPS: 4.3, Avg(us): 32979, Min(us): 23008, Max(us): 58783, 50th(us): 31647, 90th(us): 40319, 95th(us): 43263, 99th(us): 47199, 99.9th(us): 53823, 99.99th(us): 58783
READ   - Takes(s): 129.9, Count: 5929, OPS: 45.6, Avg(us): 59156, Min(us): 26224, Max(us): 86463, 50th(us): 58751, 90th(us): 66943, 95th(us): 69567, 99th(us): 74879, 99.9th(us): 81663, 99.99th(us): 85951
