Now loading data using DB:  etcd
core
Using request distribution 'latest' a keyrange of [0 99999]
***************** properties *****************
"requestdistribution"="latest"
"readallfields"="true"
"command"="run"
"threadcount"="5"
"insertproportion"="0.05"
"readproportion"="0.95"
"etcd.dial_timeout"="1s"
"operationcount"="50000"
"dotransactions"="true"
"etcd.endpoints"="192.168.37.11:2379"
"updateproportion"="0"
"workload"="core"
"recordcount"="100000"
"scanproportion"="0"
"docollectingdata"="false"
**********************************************
TOTAL  - Takes(s): 59.9, Count: 1159, OPS: 19.4, Avg(us): 118772, Min(us): 57024, Max(us): 151551, 50th(us): 123071, 90th(us): 134271, 95th(us): 136959, 99th(us): 142463, 99.9th(us): 149759, 99.99th(us): 151551
INSERT - Takes(s): 69.8, Count: 147, OPS: 2.1, Avg(us): 78877, Min(us): 56256, Max(us): 120831, 50th(us): 73663, 90th(us): 99455, 95th(us): 104959, 99th(us): 110463, 99.9th(us): 120831, 99.99th(us): 120831
READ   - Takes(s): 69.9, Count: 1241, OPS: 17.8, Avg(us): 123969, Min(us): 57024, Max(us): 152703, 50th(us): 124223, 90th(us): 135039, 95th(us): 138495, 99th(us): 145151, 99.9th(us): 151551, 99.99th(us): 152703
READ_ERROR - Takes(s): 69.9, Count: 1496, OPS: 21.4, Avg(us): 123132, Min(us): 55136, Max(us): 159359, 50th(us): 123583, 90th(us): 133887, 95th(us): 137215, 99th(us): 142207, 99.9th(us): 159359, 99.99th(us): 159359
TOTAL  - Takes(s): 69.9, Count: 1388, OPS: 19.9, Avg(us): 119193, Min(us): 56256, Max(us): 152703, 50th(us): 123071, 90th(us): 134655, 95th(us): 138239, 99th(us): 143615, 99.9th(us): 151551, 99.99th(us): 152703
INSERT - Takes(s): 79.8, Count: 163, OPS: 2.0, Avg(us): 77786, Min(us): 55104, Max(us): 120831, 50th(us): 71423, 90th(us): 99071, 95th(us): 103615, 99th(us): 110207, 99.9th(us): 120831, 99.99th(us): 120831
READ   - Takes(s): 79.9, Count: 1455, OPS: 18.2, Avg(us): 123849, Min(us): 57024, Max(us): 152703, 50th(us): 124159, 90th(us): 134655, 95th(us): 137983, 99th(us): 143487, 99.9th(us): 151551, 99.99th(us): 152703
READ_ERROR - Takes(s): 79.9, Count: 1680, OPS: 21.0, Avg(us): 123107, Min(us): 55136, Max(us): 159359, 50th(us): 123647, 90th(us): 133631, 95th(us): 136831, 99th(us): 141567, 99.9th(us): 159359, 99.99th(us): 159359
TOTAL  - Takes(s): 79.9, Count: 1618, OPS: 20.3, Avg(us): 119208, Min(us): 55104, Max(us): 152703, 50th(us): 123199, 90th(us): 134015, 95th(us): 137727, 99th(us): 143487, 99.9th(us): 149759, 99.99th(us): 152703
INSERT - Takes(s): 89.8, Count: 184, OPS: 2.1, Avg(us): 76606, Min(us): 55104, Max(us): 120831, 50th(us): 69887, 90th(us): 98367, 95th(us): 103103, 99th(us): 110207, 99.9th(us): 120831, 99.99th(us): 120831
READ   - Takes(s): 89.9, Count: 1672, OPS: 18.6, Avg(us): 123698, Min(us): 57024, Max(us): 152703, 50th(us): 123967, 90th(us): 134271, 95th(us): 137727, 99th(us): 143487, 99.9th(us): 149759, 99.99th(us): 152703
READ_ERROR - Takes(s): 89.9, Count: 1858, OPS: 20.7, Avg(us): 123066, Min(us): 55136, Max(us): 159359, 50th(us): 123647, 90th(us): 133503, 95th(us): 136703, 99th(us): 141311, 99.9th(us): 159359, 99.99th(us): 159359
